Region,Year,Mean BMI (female)
Europe,2002,25.69599879958333
Europe,2003,24.47619587
Europe,2003,25.7130738792
Europe,2004,24.494223334
Europe,2004,25.7570482076
Europe,2005,24.510270932
Europe,2005,25.7993438996
Europe,2006,24.3978178075
Europe,2006,25.808729780384617
Europe,2007,24.40206116
Europe,2007,25.84778422076923
Europe,2008,24.4044038125
Europe,2008,25.884716603846154
Europe,2009,24.4046576375
Europe,2009,25.91920009230769
Europe,2010,24.40197038
Europe,2010,25.950730186153844
Europe,2011,24.396936615
Europe,2011,25.979942302692304
Europe,2012,24.507848682
Europe,2012,26.0487547544
Europe,2013,24.496458034
Europe,2013,26.0779521064
Europe,2014,24.484224364
Europe,2014,26.1067412648
Europe,2015,24.471686114
Europe,2015,26.1352679836
Europe,2016,24.53759997
Europe,2016,26.2149365675
Northern America,2000,26.78964374
Northern America,2001,26.89675351
Northern America,2002,26.9969406
Northern America,2003,27.089737145
Northern America,2004,27.175983375
Northern America,2005,27.25658833
Northern America,2006,27.332103795
Northern America,2007,27.403746415
Northern America,2008,27.47152603
Northern America,2009,27.535946715
Northern America,2010,27.596276525
Northern America,2011,27.652498375
Northern America,2012,27.706216975
Northern America,2013,27.759217810000003
Northern America,2014,27.812118455
Northern America,2015,27.86468045
Northern America,2016,27.91720671
Oceania,2000,24.13680838
Oceania,2000,26.35064846
Oceania,2001,24.26450545
Oceania,2001,26.456814094
Oceania,2002,24.39075576
Oceania,2002,26.558090040000003
Oceania,2003,24.51465195
Oceania,2003,26.654294658
Oceania,2004,24.6362099
Oceania,2004,26.745590512
Oceania,2005,24.75550843
Oceania,2005,26.83184621
Oceania,2006,24.87201383
Oceania,2006,26.913404204
Oceania,2007,24.98716902
Oceania,2007,26.991294248
Oceania,2008,26.738684541666668
Oceania,2009,26.81761945333333
Oceania,2010,26.894368605
Oceania,2011,26.969677113333333
Oceania,2012,27.044263573333332
Oceania,2013,27.1184793
Oceania,2014,27.19240429
Oceania,2015,27.265992423333334
Oceania,2016,27.33939863333333
South America,2000,26.0251982925
South America,2001,26.12014839083333
South America,2002,26.21274529
South America,2003,26.303645890833334
South America,2004,26.39380274
South America,2005,26.484097375833333
South America,2006,26.574948460833337
South America,2007,26.666723876666666
South America,2008,26.760016195
South America,2009,26.855294605
South America,2010,26.952586029166667
South America,2011,27.05193419
South America,2012,27.152461327500003
South America,2013,27.254044736666668
South America,2014,27.355994881666664
South America,2015,27.457904710833333
South America,2016,27.5591899825
South-eastern Asia,2000,22.20221205111111
South-eastern Asia,2000,25.65794134
South-eastern Asia,2001,22.285178648888888
South-eastern Asia,2001,25.75137086
South-eastern Asia,2002,22.36787453222222
South-eastern Asia,2002,25.84485319
South-eastern Asia,2003,22.45001281111111
South-eastern Asia,2003,25.93832242
South-eastern Asia,2004,22.53239593555556
South-eastern Asia,2004,26.0323164
South-eastern Asia,2005,22.615469537777777
South-eastern Asia,2005,26.12780831
South-eastern Asia,2006,22.4052336925
South-eastern Asia,2006,25.64245916
South-eastern Asia,2007,22.48725185875
South-eastern Asia,2007,25.75420248
South-eastern Asia,2008,22.57182795
South-eastern Asia,2008,25.867238865
South-eastern Asia,2009,22.6590853325
South-eastern Asia,2009,25.9822338
South-eastern Asia,2010,22.748473365
